#1.2			
899	2		
NAME	description	WT	CAT
C11orf24	NA	2.14248991	1.516090035
ASIP	NA	2.898669958	1.54084003
ABCG2	NA	39.73939896	27.36490059
ABR	NA	25.06189919	19.8090992
ACADL	NA	8.542079926	6.846529961
ACBD6	NA	24.36179924	18.64360046
ACOT7	NA	17.68160057	10.65799999
ACSL5	NA	46.34659958	40.38169861
ADCY1	NA	2.055999994	1.698459983
ADGRL1	NA	36.29539871	30.71369934
AFMID	NA	5.655630112	4.128890038
AFTPH	NA	94.79290009	83.69920349
AGBL5	NA	18.98180008	15.07369995
AHCY	NA	8.22052002	6.347439766
AHDC1	NA	19.84029961	15.51589966
AIP	NA	12.03170013	8.979969978
ALG8	NA	6.712769985	5.69340992
ALOX5AP	NA	2.741159916	1.366219997
ALS2	NA	16.29840088	8.926230431
ALYREF	NA	117.2949982	90.34880066
ANKLE1	NA	9.59224987	6.308119774
ANKS1A	NA	13.83969975	11.43459988
ANLN	NA	19.27619934	8.061699867
ANO6	NA	116.2190018	83.8615036
ANO8	NA	4.678659916	3.235610008
AOC2	NA	3.704210043	2.423350096
AP2A1	NA	42.41970062	36.04610062
AP3B1	NA	33.72409821	28.86910057
APEX1	NA	14.50119972	12.38780022
APIP	NA	24.66090012	18.73740005
APOO	NA	4.229380131	3.353699923
ARC	NA	9.421030045	6.40542984
ARHGAP11A	NA	17.18619919	9.783920288
ARHGAP11B	NA	17.18619919	9.783920288
ARHGAP18	NA	7.824260235	5.496809959
ARHGAP19-SLIT1	NA	18.12330055	10.02320004
ARHGAP19	NA	18.12330055	10.02320004
ARHGEF3	NA	14.5564003	10.00650024
ARHGEF39	NA	27.32999992	18.34370041
ARMCX5	NA	8.661569595	7.049300194
ARPP21	NA	539.9060059	384.1679993
ARSK	NA	6.114449978	4.508359909
ASAP1	NA	15.71399975	12.99040031
ASF1B	NA	32.09500122	19.2303009
ASPM	NA	19.46430016	6.49243021
ATG14	NA	7.310460091	6.006899834
ATG16L2	NA	45.48099899	38.65620041
ATMIN	NA	9.781570435	8.60653019
ATP13A2	NA	21.58510017	18.98550034
ATP2A2	NA	23.40399933	20.02599907
AUNIP	NA	3.765000105	2.556790113
AURKA	NA	32.44879913	18.50650024
AURKB	NA	54.68880081	27.68840027
AVEN	NA	5.14428997	3.75838995
AXIN1	NA	82.11049652	61.13410187
BARD1	NA	7.779439926	3.526370049
BBC3	NA	7.229410172	5.745659828
BCL7A	NA	14.75409985	9.842080116
BCL9L	NA	4.292769909	3.385770082
BIRC5	NA	69.74890137	40.0802002
BLM	NA	23.95470047	20.80019951
BORA	NA	17.58250046	12.12220001
BPNT1	NA	4.139359951	3.197599888
BRCA1	NA	18.01280022	6.223050117
BRCA2	NA	9.437459946	7.034470081
BRD8	NA	47.62820053	39.07559967
BRI3BP	NA	3.439929962	2.600080013
BTRC	NA	18.88489914	13.57839966
BUB1	NA	28.92130089	14.34809971
BUB1B	NA	63.39720154	23.80050087
BUB3	NA	116.4810028	94.83789825
BZW2	NA	42.31340027	35.2942009
C2CD2	NA	8.180970192	5.491260052
CAD	NA	10.36839962	7.086289883
CALHM2	NA	2.666079998	2.33859992
CAMKV	NA	3.096080065	1.867370009
CARF	NA	11.60820007	6.849639893
CARHSP1	NA	11.6729002	9.395859718
CASP3	NA	20.81130028	16.98040009
CASP7	NA	9.272170067	5.256219864
CCDC138	NA	4.739729881	3.849260092
CCDC141	NA	4.244969845	2.244390011
CCDC15	NA	8.685299873	7.15583992
CCDC171	NA	5.696849823	4.432829857
CCDC173	NA	2.425869942	1.789649963
CCDC18	NA	8.120470047	3.31092
CCDC28A	NA	12.17599964	10.42039967
CCDC62	NA	3.393810034	2.145149946
CCDC85C	NA	5.801599979	3.539979935
CCNA2	NA	107.9710007	49.97280121
CCNB1	NA	40.5257988	21.40530014
CCNB2	NA	56.75299835	32.19509888
